Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"kernel(double*, double*, double*, double*, double*, double*, int)",43259280,360955,8,1,1,128,1,1,13,0,0,0,100,25.848,55497222,0,1960842764,44326855,95.718,0,0,1960842764,4.278,21931,126,0,1,0,0,0,0,0,668624,0,0,1346272,0,672600,509,0,22444,626,2684448,0,667600,0,65490,78.391,88653,0,45124738,1989743873,0,44326855,0,0,0,500,0,0,0,22118,0,44044,0,0,42.837,54.321,0,2.266,0,0,0,240802,328664,0,Low (1),0,Idle,0,263014,0,Low (1),Idle,0.384,Low (1),Low (1),Low (1),Low (1),Low (1),121,0,10727098,0.183,0.006,0.003,0.061,0
"kernel(double*, double*, double*, double*, double*, double*, int)",488947440,298088,8,1,1,128,1,1,13,0,0,0,100,25.729,67201631,536754,2761278548,53675424,97.658,0,0,2761278548,4.393,25535,126,0,4,0,0,0,0,0,795024,0,0,1599072,0,799000,511,0,25926,626,3190048,5,794000,0,76320,79.967,429403,0,54856284,2783178121,0,53675424,0,0,0,500,0,0,0,25722,0,51264,0,0,42.903,54.649,0,1.9,0,0,0,280512,382816,0,Low (1),0,Idle,0,306336,0,Low (1),Idle,0.384,Low (1),Low (1),Low (1),Low (1),Low (1),130,0,13955610,0.157,0.004,0.002,0.062,0
"kernel(double*, double*, double*, double*, double*, double*, int)",964126032,304899,8,1,1,128,1,1,13,0,0,0,100,26.214,66120256,524763,1621205710,52476393,92.587,0,0,1621205710,4.211,15258,126,0,5,0,0,0,0,0,448868,0,0,906760,0,452844,503,0,15574,630,1805424,5,447844,0,45459,75.863,524763,0,52791252,1634534714,0,52476393,0,0,0,500,0,0,0,15447,0,30690,0,0,43.022,54.269,0,2.045,0,0,0,167355,228511,0,Low (1),0,Idle,0,182892,0,Low (1),Idle,0.387,Low (1),Low (1),Low (1),Low (1),Low (1),134,0,14063673,0.264,0.008,0.004,0.06,0
"kernel(double*, double*, double*, double*, double*, double*, int)",1385295728,175804,8,1,1,128,1,1,13,0,0,0,100,26.736,114673158,0,1966189620,91010443,94.736,0,0,1966189620,4.107,10615,126,0,4,0,0,0,0,0,318757,0,0,646538,0,322733,512,0,10967,630,1284980,0,317733,0,31548,77.669,728083,0,93194694,1996223066,0,91010443,0,0,0,500,0,0,0,10802,0,21416,0,0,42.958,54.357,0,1.905,0,0,0,116348,158954,0,Low (1),0,Idle,0,127246,0,Low (1),Idle,0.39,Low (1),Low (1),Low (1),Low (1),Low (1),129,0,23480694,0.372,0.011,0.006,0.058,0
"kernel(double*, double*, double*, double*, double*, double*, int)",1783043024,303451,8,1,1,128,1,1,13,0,0,0,100,26.072,66013952,0,1845121617,52726799,93.853,0,0,1845121617,3.945,17310,126,0,5,0,0,0,0,0,516774,0,0,1042572,0,520750,511,0,17636,626,2077048,0,515750,0,51627,76.885,527267,0,53886788,1859779667,0,52726799,0,0,0,500,0,0,0,17497,0,34802,0,0,43.056,54.407,0,1.908,0,0,0,189971,259351,0,Low (1),0,Idle,0,207564,0,Low (1),Idle,0.387,Low (1),Low (1),Low (1),Low (1),Low (1),126,0,13287153,0.232,0.007,0.003,0.056,0
"kernel(double*, double*, double*, double*, double*, double*, int)",2207635888,261909,8,1,1,128,1,1,13,0,0,0,100,26.154,76728940,0,1985544597,61089920,94.813,0,0,1985544597,4.046,16064,126,0,8,0,0,0,0,0,484274,0,0,977572,0,488250,506,0,16456,628,1947048,0,483250,0,47889,77.678,977438,0,61822999,2010591464,0,61089920,0,0,0,500,0,0,0,16251,0,32310,0,0,42.982,54.467,0,1.905,0,0,0,176265,240655,0,Low (1),0,Idle,0,192606,0,Low (1),Idle,0.387,Low (1),Low (1),Low (1),Low (1),Low (1),128,0,15639019,0.248,0.008,0.004,0.057,0
"kernel(double*, double*, double*, double*, double*, double*, int)",2621569008,299480,8,1,1,128,1,1,13,0,0,0,100,26.149,67316682,0,1743822625,53425938,93.651,0,0,1743822625,4.017,16131,126,0,9,0,0,0,0,0,480296,0,0,969616,0,484272,502,0,16577,630,1931136,0,479272,0,48084,76.732,961666,0,53639642,1771283558,0,53425938,0,0,0,500,0,0,0,16320,0,32440,0,0,43.05,54.394,0,1.908,0,0,0,176980,241636,0,Low (1),0,Idle,0,193392,0,Low (1),Idle,0.388,Low (1),Low (1),Low (1),Low (1),Low (1),121,0,12929077,0.249,0.008,0.004,0.057,0
"kernel(double*, double*, double*, double*, double*, double*, int)",3043803056,356196,8,1,1,128,1,1,13,0,0,0,100,26.023,56418376,0,1646374467,44919089,93.914,0,0,1646374467,4.345,18137,126,0,9,0,0,0,0,0,542024,0,0,1093072,0,546000,508,0,18560,628,2178048,0,541000,0,54114,76.93,808543,0,45637794,1667396601,0,44919089,0,0,0,500,0,0,0,18326,0,36460,0,0,43.081,54.394,0,1.908,0,0,0,199090,271786,0,Low (1),0,Idle,0,217512,0,Low (1),Idle,0.387,Low (1),Low (1),Low (1),Low (1),Low (1),124,0,11139934,0.221,0.007,0.003,0.062,0
"kernel(double*, double*, double*, double*, double*, double*, int)",3475832368,347199,8,1,1,128,1,1,13,0,0,0,100,26.129,57880351,460830,1530695652,46083082,92.7,0,0,1530695652,4.15,16421,126,0,4,0,0,0,0,0,483827,0,0,976678,0,487803,513,0,16803,628,1945260,5,482803,0,48942,75.943,368664,0,47281242,1548668054,0,46083082,0,0,0,500,0,0,0,16608,0,33012,0,0,43.021,54.428,0,1.907,0,0,0,180126,245924,0,Low (1),0,Idle,0,196822,0,Low (1),Idle,0.387,Low (1),Low (1),Low (1),Low (1),Low (1),129,0,11889435,0.246,0.008,0.004,0.059,0
