Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"needle_cuda_shared_1(int*, int*, int, int, int, int)",4212194183,21551,11,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,779546192,1759547120,1078001020,751334044,50,0,0,1078001020,1.527,385,187,0,5,0,0,3311,1177,39330703911,880,0,176,8635,0,26070,509,0,828,525,41910,1185,0,0,770,36.899,7424249,0,755788594,1229455709,13981346573,751334044,0,0,0,506,0,0,0,726,0,5654,0,6.768,45.193,15.171,0,2.039,0,0,0,6578,10863,0,Low (1),0,Idle,0,9089,0,Low (1),Idle,0.126,Low (1),Low (1),Low (1),Low (1),Low (1),628,0,932485731,4.012,26.674,0.016,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",5093751431,22269,12,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,946966635,2082177017,1138084332,793210292,50,0,0,1138084332,1.507,588,360,0,1,0,0,3612,1284,41522834433,960,0,192,9420,0,28440,554,0,1057,659,45720,1449,0,0,840,36.899,1436975,0,796084242,1518882751,14760608918,793210292,0,0,0,552,0,0,0,792,0,6746,0,6.308,43.843,11.697,0,5.16,0,0,0,7176,12638,0,Low (1),0,Idle,0,10550,0,Low (1),Idle,0.11,Low (1),Low (1),Low (1),Low (1),Low (1),905,0,1300462526,3.229,29.645,0.008,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",5976065767,21587,13,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,916106916,1950803724,1271876592,886459443,50,0,0,1271876592,1.526,455,221,0,1,0,0,3913,1391,46404224764,1040,0,208,10205,0,30810,605,0,973,618,49530,1316,0,0,910,36.902,1482373,0,896836058,1442349562,16495853986,886459443,0,0,0,598,0,0,0,858,0,6686,0,6.798,45.167,15.642,0,1.996,0,0,0,7774,12870,0,Low (1),0,Idle,0,10765,0,Low (1),Idle,0.128,Low (1),Low (1),Low (1),Low (1),Low (1),598,0,886459443,3.477,26.777,0.016,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",6867727079,22407,14,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1065381354,2253581470,1319587628,919712589,50,0,0,1319587628,1.557,686,420,0,5,0,0,4214,1498,48144954701,1120,0,224,10990,0,33180,649,0,1372,746,53340,1578,0,0,980,36.896,7140625,0,926853215,1959387691,17114651671,919712589,0,0,0,644,0,0,0,924,0,7881,0,6.47,44.924,12.781,0,1.949,0,0,0,8372,14772,0,Low (1),0,Idle,0,12333,0,Low (1),Idle,0.115,Low (1),Low (1),Low (1),Low (1),Low (1),963,0,1375284509,3.318,30.437,0.006,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",7744583783,21532,15,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1061118335,2374883893,1471298532,1025450492,50,0,0,1471298532,1.466,525,255,0,1,0,0,4515,1605,53680104031,1200,0,240,11775,0,35550,695,0,1436,714,57150,1598,0,0,1050,36.901,1486160,0,1032881292,2134125952,19082296117,1025450492,0,0,0,690,0,0,0,990,0,7688,0,6.537,43.434,14.69,0,6.097,0,0,0,8970,14827,0,Low (1),0,Idle,0,12401,0,Low (1),Idle,0.123,Low (1),Low (1),Low (1),Low (1),Low (1),855,0,1270666914,3.366,25.738,0.015,0.016,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",8611893607,22344,16,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1271750805,2708199069,1512352309,1054063730,50,0,0,1512352309,1.601,784,480,0,1,0,0,4816,1712,55177944862,1280,0,256,12560,0,37920,737,0,1352,888,60960,1891,0,0,1120,36.899,1432151,0,1055495882,1936269244,19614751163,1054063730,0,0,0,736,0,0,0,1056,0,8997,0,6.547,45.442,11.822,0,1.985,0,0,0,9568,16868,0,Low (1),0,Idle,0,14082,0,Low (1),Idle,0.11,Low (1),Low (1),Low (1),Low (1),Low (1),1236,0,1770139634,3.328,30.76,0.007,0.017,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",9025556647,21589,17,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1197646949,2516837278,1663069155,1159108805,50,0,0,1663069155,1.729,595,289,0,5,0,0,5117,1819,60676826161,1360,0,272,13345,0,40290,791,0,1413,808,64770,1698,0,0,1190,36.899,7411181,0,1172448932,2094399925,21569502987,1159108805,0,0,0,782,0,0,0,1122,0,8756,0,6.831,45.391,15.238,0,2.03,0,0,0,10166,16805,0,Low (1),0,Idle,0,14055,0,Low (1),Idle,0.13,Low (1),Low (1),Low (1),Low (1),Low (1),858,0,1271758766,3.468,26.897,0.016,0.018,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",9470376263,22466,18,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1318970889,2878661087,1692157037,1179382177,50,0,0,1692157037,1.858,882,540,0,13,0,0,5418,1926,61738093118,1440,0,288,14130,0,42660,830,0,1312,926,68580,2021,0,0,1260,36.898,18516869,0,1182230926,1868779489,21946763998,1179382177,0,0,0,828,0,0,0,1188,0,10124,0,6.497,45.044,12.544,0,1.953,0,0,0,10764,18976,0,Low (1),0,Idle,0,15844,0,Low (1),Idle,0.112,Low (1),Low (1),Low (1),Low (1),Low (1),1175,0,1673640167,3.29,30.555,0.006,0.019,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",9886634887,21587,19,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1332653912,2816509936,1858896558,1295594570,50,0,0,1858896558,1.933,665,323,0,9,0,0,5719,2033,67821559271,1520,0,304,14915,0,45030,880,0,1721,899,72390,1900,0,0,1330,36.897,13341362,0,1304488812,2551165053,24109325056,1295594570,0,0,0,874,0,0,0,1254,0,9733,0,6.592,43.745,14.593,0,5.649,0,0,0,11362,18769,0,Low (1),0,Idle,0,15702,0,Low (1),Idle,0.125,Low (1),Low (1),Low (1),Low (1),Low (1),931,0,1380089868,3.338,25.943,0.015,0.02,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",10308984231,22414,20,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1521905951,3467832604,1884536450,1313464798,50,0,0,1884536450,2.017,980,600,0,5,0,0,6020,2140,68757026858,1600,0,320,15700,0,47400,921,0,1768,1066,76200,2429,0,0,1400,36.899,7138395,0,1314892477,2524136700,24441866690,1313464798,0,0,0,920,0,0,0,1320,0,11256,0,6.524,45.352,11.998,0,1.98,0,0,0,11960,21097,0,Low (1),0,Idle,0,17614,0,Low (1),Idle,0.114,Low (1),Low (1),Low (1),Low (1),Low (1),1535,0,2191487463,3.358,30.664,0.01,0.021,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",10721534119,21688,21,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1472519365,3091110291,2045001844,1425304315,50,0,0,2045001844,2.13,735,357,0,5,0,0,6321,2247,74611582441,1680,0,336,16485,0,49770,977,0,1491,998,80010,2095,0,0,1470,36.899,7377351,0,1441534489,2199926226,26523054223,1425304315,0,0,0,966,0,0,0,1386,0,10785,0,6.828,45.36,15.301,0,2.03,0,0,0,12558,20790,0,Low (1),0,Idle,0,17389,0,Low (1),Idle,0.13,Low (1),Low (1),Low (1),Low (1),Low (1),950,0,1401696790,3.459,26.876,0.016,0.022,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",11144657831,22520,22,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1605683836,3640497335,2063232682,1438010657,50,0,0,2063232682,2.194,1078,660,0,1,0,0,6622,2354,75276731793,1760,0,352,17270,0,52140,1014,0,1726,1130,83820,2562,0,0,1540,36.9,1420959,0,1440852575,2452575488,26759502664,1438010657,0,0,0,1012,0,0,0,1452,0,12372,0,6.495,45.045,12.596,0,1.968,0,0,0,13156,23195,0,Low (1),0,Idle,0,19366,0,Low (1),Idle,0.111,Low (1),Low (1),Low (1),Low (1),Low (1),1536,0,2182593250,3.273,30.503,0.009,0.023,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",11557011431,21665,23,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1614401107,3522732517,2242141703,1562704823,50,0,0,2242141703,2.352,805,391,0,5,0,0,6923,2461,81804200323,1840,0,368,18055,0,54510,1067,0,1798,1093,87630,2385,0,0,1610,36.898,7385183,0,1575998153,2655711977,29079898453,1562704823,0,0,0,1058,0,0,0,1518,0,11821,0,6.585,43.767,14.915,0,5.361,0,0,0,13754,22813,0,Low (1),0,Idle,0,19081,0,Low (1),Idle,0.122,Low (1),Low (1),Low (1),Low (1),Low (1),1185,0,1750288483,3.306,25.929,0.015,0.024,0
"needle_cuda_shared_1(int*, int*, int, int, int, int)",11968122759,22454,24,1,1,16,1,1,26,2180,0,6.989,69.565,54.735,1894005522,3842166206,2257415159,1573349959,50,0,0,2257415159,2.487,1176,720,0,5,0,0,7224,2568,82361450075,1920,0,384,18840,0,56880,1114,0,1674,1329,91440,2696,0,0,1680,36.899,7125679,0,1587601318,2385677384,29277990558,1573349959,0,0,0,1104,0,0,0,1584,0,13492,0,6.483,44.975,12.635,0,1.961,0,0,0,14352,25304,0,Low (1),0,Idle,0,21127,0,Low (1),Idle,0.111,Low (1),Low (1),Low (1),Low (1),Low (1),1714,0,2442682818,3.348,30.478,0.01,0.025,0
