Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"dynproc_kernel(int, int*, int*, int*, int, int, int, int)",48019337,130515,463,1,1,256,1,1,17,2048,0,45.944,79.41,78.817,3816756694,87271746542,89203539823,3859418457,100,0,0,89203539823,40.413,149273,6713,0,5,0,0,296320,148237,581219936405,2702664,0,2489088,17844736,0,15465880,15755,0,364030,15567,34985944,355946,0,0,383784,90.249,1225912,0,3862851013,89253802244,290761000651,3859418457,0,0,0,15741,0,0,0,363825,0,609885,0,13.806,24.579,23.567,0,5.603,0,0,0,2544648,2752253,0,Low (2),0,Idle,0,2252772,0,Low (2),Idle,16.275,Mid (4),Mid (5),Low (3),Mid (4),Low (1),98343,5.599,24111987127,0.383,2.216,7.972,0.9,0
"dynproc_kernel(int, int*, int*, int*, int, int, int, int)",509410569,130528,463,1,1,256,1,1,17,2048,0,45.937,79.41,78.817,3821770041,87097818092,89194655552,3859034076,100,0.004,0,89194655552,40.442,149273,6713,0,5,0,0,296320,148302,581162049521,2702664,0,2489088,17844736,0,15465880,15840,0,364207,15589,34985944,355272,0,0,383807,90.249,1225790,0,3883304731,89288305957,290859524393,3862956607,0,0,0,15757,0,0,0,363825,0,610091,0,13.703,24.636,23.524,0,5.602,0,0,0,2544648,2752467,0,Low (2),0,Idle,0,2252887,0,Low (2),Idle,16.347,Mid (4),Mid (5),Low (3),Mid (4),Low (1),99034,5.593,24278989948,0.382,2.227,7.986,0.9,0
"dynproc_kernel(int, int*, int*, int*, int, int, int, int)",965541993,130605,463,1,1,256,1,1,17,2048,0,45.946,79.41,78.817,3814371578,87376501665,89142069599,3856758929,100,0.001,0,89142069599,40.517,149273,6713,0,6,0,0,296320,148217,580819417327,2702664,0,2489088,17844736,0,15465880,15813,0,363951,15568,34985944,356619,0,0,383745,90.249,1470081,0,3874399908,89172941311,290521434860,3857738983,0,0,0,15745,0,0,0,363825,0,609880,0,13.862,24.588,23.442,0,5.614,0,0,0,2544648,2752108,0,Low (2),0,Idle,0,2252607,0,Low (2),Idle,16.324,Mid (4),Mid (5),Low (3),Mid (4),Low (1),99840,5.622,24462156885,0.384,2.218,7.946,0.901,0
"dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1447945993,130589,463,1,1,256,1,1,17,2048,0,45.938,79.41,78.817,3806262395,86981169930,89152991446,3857231466,100,0,0,89152991446,40.429,149273,6713,0,4,0,0,296320,148299,580890580370,2702664,0,2489088,17844736,0,15465880,15803,0,364079,15533,34985944,354962,0,0,383809,90.249,980174,0,3872424170,89215232523,290717778679,3857231466,0,0,0,15741,0,0,0,363825,0,609942,0,13.754,24.601,23.539,0,5.6,0,0,0,2544648,2753078,0,Low (2),0,Idle,0,2253429,0,Low (2),Idle,16.323,Mid (4),Mid (5),Low (3),Mid (4),Low (1),98677,5.585,24180168314,0.379,2.221,7.997,0.898,0
"dynproc_kernel(int, int*, int*, int*, int, int, int, int)",1900702441,123578,463,1,1,256,1,1,17,2048,0,46.007,81.348,82.87,4033857159,87805661201,84916085387,3978960656,100,0.008,0,84916085387,40.568,136968,6591,0,0,0,0,279532,140143,579069025231,2585608,0,2370560,17013172,0,14631260,15384,0,328013,15578,33321628,339089,0,0,365051,90.414,0,0,3983621680,84937577886,290315493048,3986211137,0,0,0,15394,0,0,0,327930,0,572031,0,13.84,24.638,23.557,0,5.667,0,0,0,2416736,2607800,0,Low (2),0,Idle,0,2133494,0,Low (2),Idle,16.26,Mid (4),Mid (5),Low (3),Mid (4),Idle,94570,5.542,24488501189,0.481,2.084,7.93,0.904,0
