Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Global Memory Load Efficiency(%),Device Memory Write Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Global Load Throughput(bytes/sec),Global Store Throughput(bytes/sec),Warp Execution Efficiency(%),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),L2 Throughput (L1 Reads)(bytes/sec),Issue Slot Utilization(%),Global Load Transactions,Global Store Transactions,System Memory Read Transactions,System Memory Write Transactions,Local Load Transactions,Local Store Transactions,Shared Load Transactions,Shared Store Transactions,Shared Memory Load Throughput(bytes/sec),Control-Flow Instructions,Local Memory Store Throughput(bytes/sec),Bit-Convert Instructions,Misc Instructions,Local Memory Load Throughput(bytes/sec),Load/Store Instructions,L2 Write Transactions,FP Instructions(Single),L2 Read Transactions,Device Memory Write Transactions,Integer Instructions,Device Memory Read Transactions,FP Instructions(Double),Texture Cache Transactions,Issued Control-Flow Instructions,Warp Non-Predicated Execution Efficiency(%),System Memory Write Throughput(bytes/sec),System Memory Read Throughput(bytes/sec),L2 Throughput (Writes)(bytes/sec),L2 Throughput (Reads)(bytes/sec),Shared Memory Store Throughput(bytes/sec),L2 Throughput (L1 Writes)(bytes/sec),Floating Point Operations(Double Precision Add),L2 Transactions (Atomic requests),Floating Point Operation(Single Precision Mul),L2 Write Transactions (L1 write requests),L2 Transactions (Texture Reads),Floating Point Operations(Single Precision FMA),Atomic Throughput(bytes/sec),L2 Read Transactions (L1 read requests),Floating Point Operations(Single Precision Add),Issued Load/Store Instructions,Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Synchronization)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Floating Point Operations(Single Precision Special),Issue Stall Reasons (Instructions Fetch)(%),Floating Point Operations(Double Precision Mul),Floating Point Operations(Double Precision FMA),L2 Throughput (Atomic requests)(bytes/sec),Instructions Executed,Instructions Issued,Atomic Transactions,Control-Flow Function Unit Utilization,Inter-Thread Instructions,Texture Function Unit Utilization,L2 Non-Coherent Read Transactions,Issue Slots,L2 Throughput (Non-Coherent Reads)(bytes/sec),L2 Cache Utilization,Texture Cache Utilization,Issue Stall Reasons (Other)(%),L1/Shared Memory Utilization,Load/Store Function Unit Utilization,Arithmetic Function Unit Utilization,Device Memory Utilization,System Memory Utilization,ECC Transactions,Issue Stall Reasons (Pipe Busy)(%),ECC Throughput(bytes/sec),Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Achieved Occupancy,Texture Cache Throughput(bytes/sec)
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",4979783688,294752,8,128,1,64,4,1,30,0,0,0,100,92.693,35210726305,71275757246,184099880577,28459884920,99.97,0,0,184099880577,61.969,516096,65536,0,5,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262162,35651584,1695923,324326,94107648,656521,0,0,414157,99.404,542829,0,28461839105,184119313863,0,28459884920,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.292,42,0,6.585,0,0,0,8704064,9850212,0,Low (1),0,Idle,0,7912099,0,Mid (4),Idle,4.487,Low (1),Low (2),Mid (6),Mid (4),Low (1),192672,2.253,20917598523,0.2,1.574,5.608,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",5468271816,294830,8,128,1,64,4,1,30,0,0,0,100,92.693,35200759759,71248326154,184051175253,28452355594,99.97,0,0,184051175253,61.914,516096,65536,0,6,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262160,35651584,1696192,324320,94107648,656442,0,0,414141,99.404,651222,0,28454092188,184099799884,0,28452355594,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.311,42.125,0,6.447,0,0,0,8704064,9849017,0,Low (1),0,Idle,0,7911263,0,Mid (4),Idle,4.484,Low (1),Low (2),Mid (6),Mid (4),Low (1),192415,2.248,20884170538,0.194,1.575,5.615,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",5962398344,294736,8,128,1,64,4,1,30,0,0,0,100,92.693,35200803430,71332175234,184109874599,28461429889,99.97,0,0,184109874599,61.883,516096,65536,0,6,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262161,35651584,1695918,324217,94107648,657005,0,0,414145,99.404,651430,0,28463275609,184128766082,0,28461429889,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.27,42.057,0,6.579,0,0,0,8704064,9850001,0,Low (1),0,Idle,0,7911976,0,Mid (4),Idle,4.473,Low (1),Low (2),Mid (6),Mid (4),Low (1),193016,2.255,20956082731,0.195,1.573,5.6,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",6460716456,294875,8,128,1,64,4,1,30,0,0,0,100,92.693,35206456973,71251018228,184023087749,28448013565,99.97,0,0,184023087749,61.898,516096,65536,0,5,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262163,35651584,1695913,324422,94107648,656567,0,0,414142,99.404,542602,0,28450075455,184041427723,0,28448013565,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.257,42.062,0,6.584,0,0,0,8704064,9849113,0,Low (1),0,Idle,0,7911320,0,Mid (4),Idle,4.48,Low (1),Low (2),Mid (6),Mid (4),Low (1),192571,2.249,20897912674,0.195,1.572,5.601,0.938,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",6957876840,294687,8,128,1,64,4,1,30,0,0,0,100,92.693,35218058482,71308418762,184140488043,28466162402,99.97,0,0,184140488043,61.997,516096,65536,0,0,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262159,35651584,1696014,324322,94107648,656677,0,0,414133,99.404,0,0,28467791249,184169807287,0,28466162402,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.275,42.01,0,6.583,0,0,0,8704064,9849771,0,Low (1),0,Idle,0,7911524,0,Mid (4),Idle,4.486,Low (1),Low (2),Mid (6),Mid (4),Idle,192843,2.25,20940781235,0.202,1.573,5.62,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",7630285384,294808,8,128,1,64,4,1,30,0,0,0,100,92.693,35206642967,71287509158,184064910043,28454478847,99.97,0,0,184064910043,61.823,516096,65536,0,3,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262156,35651584,1696190,324350,94107648,656754,0,0,414161,99.404,325635,0,28455781389,184113321212,0,28454478847,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.338,42.082,0,6.448,0,0,0,8704064,9848938,0,Low (1),0,Idle,0,7911172,0,Mid (4),Idle,4.49,Low (1),Low (2),Mid (6),Mid (4),Low (1),192866,2.262,20934682912,0.194,1.575,5.611,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",8217578344,294701,8,128,1,64,4,1,30,0,0,0,100,92.693,35216059667,71271804303,184131740306,28464810095,99.97,0,0,184131740306,61.948,516096,65536,0,0,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262164,35651584,1696014,324319,94107648,656371,0,0,414155,99.404,0,0,28466981788,184161058157,0,28464810095,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.311,42.085,0,6.457,0,0,0,8704064,9849371,0,Low (1),0,Idle,0,7911326,0,Mid (4),Idle,4.49,Low (1),Low (2),Mid (6),Mid (4),Idle,192396,2.256,20891249096,0.201,1.575,5.625,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",8726894824,294847,8,128,1,64,4,1,30,0,0,0,100,92.693,35196776633,71210899212,184040563410,28450715116,99.97,0,0,184040563410,61.88,516096,65536,0,4,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262159,35651584,1696421,324302,94107648,656135,0,0,414147,99.404,434123,0,28452343079,184114038806,0,28450715116,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.313,42.109,0,6.457,0,0,0,8704064,9849920,0,Low (1),0,Idle,0,7911699,0,Mid (4),Idle,4.487,Low (1),Low (2),Mid (6),Mid (4),Low (1),192083,2.251,20846934172,0.195,1.574,5.613,0.937,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",9226161928,294762,8,128,1,64,4,1,30,0,0,0,100,92.693,35200629660,71258357590,184093634864,28458919399,99.97,0,0,184093634864,61.961,516096,65536,0,9,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262156,35651584,1695927,324244,94107648,656383,0,0,414131,99.404,977059,0,28460222145,184113501740,0,28458919399,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.324,42.072,0,6.448,0,0,0,8704064,9849713,0,Low (1),0,Idle,0,7911617,0,Mid (4),Idle,4.489,Low (1),Low (2),Mid (6),Mid (4),Low (1),192120,2.259,20856962566,0.202,1.575,5.631,0.939,0
"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float, float)",9721630312,294824,8,128,1,64,4,1,30,0,0,0,100,92.693,35216237484,71292106477,184054920901,28452934632,99.97,0,0,184054920901,61.884,516096,65536,0,4,0,0,0,0,0,6293504,0,0,122422784,0,18350080,262159,35651584,1696162,324456,94107648,656832,0,0,414140,99.404,434157,0,28454562722,184100290342,0,28452934632,0,0,18874368,262144,0,0,0,1695744,16777216,581632,0,0,37.325,42.126,0,6.448,0,0,0,8704064,9850466,0,Low (1),0,Idle,0,7912103,0,Mid (4),Idle,4.482,Low (1),Low (2),Mid (6),Mid (4),Low (1),193039,2.251,20952324098,0.192,1.574,5.601,0.939,0
